Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2, C4, C5, C9",0805,6,100nF,C49678
"C11, C12",0805,2,10nF,C1710
"C13, C6",0805,2,10uF,C15850
"C14, C16",C_0603,2,330pF,C1664
"C3, C7, C8",1206,3,47uF,C96123
"D1, D2",D_SOD-123,2,1N4148W,C81598
LS1,PKLCS1212E20A0-R1,1,PKLCS1212E20A0-R1,PKLCS1212E20A0-R1
Q1,Q_SOT-23,1,AO3400A,C20917
"R1, R12, R3, R5",0805,4,100kΩ,C149504
"R10, R15, R6",0805,3,1MΩ,C17514
"R2, R9",R_0805,2,1kΩ,C17513
R4,0805,1,10kΩ,C17414
R7,0805,1,5.1kΩ,C27834
R8,0805,1,0Ω,C17477
"RV1, RV2",Potentiometer_Bourns_3296W_Vertical,2,1meg,C83687
SW1,KSK-1C90F-1015,1,my_SW_Reed_SPDT,KSK-1C90F-1015 
"TP1, TP10, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D1.5mm,10,TestPoint,
U1,SOP65P400X130-8N,1,SN74LVC2G02DCTR,C94600
"U2, U3",TSOT-23-6,2,LTC6993IS6-3,LTC6993IS6-3#TRMPBF
U5,BatteryHolder_Renata_SMTU2032-LF_1x2032,1,SMTU2450N-LF,C5443913
U6,SOIC-14_3.9x8.7mm_P1.27mm,1,TLC556CDR,TLC556CDR
